customer_id,account_number,full_name,gender,age,customer_segment,subsidiary_name,country,branch_code,regulator,account_type,account_status,currency,account_balance_local,account_balance_usd,loan_status,loan_amount_local,loan_amount_usd,credit_score_bucket,kyc_status,phone_number,onboarding_date,tenure_months,last_transaction_date,monthly_txn_count,primary_channel,digital_engagement_score,mobile_wallet_linked,agent_banking_used,insurance_policy_held,nps_category
EGH-KE-50111873,KE3817032177,Linda Collins,Female,28,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR036,Central Bank of Kenya,Savings Account,Active,KES,19997.42,154.42,No Loan,0.0,0.0,Fair (580-669),Partial KYC,+254792568789,2024-05-07,7,2024-09-09,75,Agent Banking,47,No,Yes,No,Promoter
EGH-KE-90380900,KE6241364625,Raymond Roberts,Male,19,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR041,Central Bank of Kenya,Savings Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254735478789,2013-10-21,134,2023-06-14,35,ATM,32,Yes,Yes,Yes,Promoter
EGH-KE-71012710,KE8973263965,Adrian Thomas,Male,73,Government / Parastatal,Equity Bank Kenya Limited,Kenya,KE-BR032,Central Bank of Kenya,Current Account,Dormant,KES,0.0,0.0,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254741795001,2014-10-24,122,2024-03-13,69,USSD (*247#),45,Yes,No,Yes,Promoter
EGH-KE-80054513,KE8779687511,Frederick Walker,Male,37,SME,Equity Bank Kenya Limited,Kenya,KE-BR015,Central Bank of Kenya,Savings Account,Active,KES,2388303.32,18442.5,Fully Repaid,12088385.39,93346.61,Very Good (740-799),Fully Verified,+254729794838,2024-10-04,2,2023-08-15,64,Mobile App (EazzyBanking),83,Yes,No,No,Passive
EGH-KE-78390948,KE5532126289,Marcus Williams,Male,71,Microfinance,Equity Bank Kenya Limited,Kenya,KE-BR049,Central Bank of Kenya,Savings Account,Dormant,KES,1523.3,11.76,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254749106421,2020-04-07,56,2024-12-02,52,USSD (*247#),52,Yes,Yes,No,Promoter
EGH-RW-27517483,RW5241335725,Max Taylor,Male,22,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR042,National Bank of Rwanda,Current Account,Active,RWF,2963.11,2.26,Active Loan,66885.95,51.06,Good (670-739),Pending Review,+250709568975,2016-07-07,101,2023-10-23,50,Internet Banking,94,No,Yes,No,Promoter
EGH-KE-42751542,KE5799767549,Deborah McCarthy,Female,24,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR013,Central Bank of Kenya,Group / Chama Account,Active,KES,72420.6,559.23,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254722565141,2017-12-13,84,2024-02-29,54,Agent Banking,43,Yes,Yes,Yes,Detractor
EGH-KE-52004889,KE4512897948,Russell Lewis,Male,50,SME,Equity Bank Kenya Limited,Kenya,KE-BR047,Central Bank of Kenya,Savings Account,Active,KES,8704767.08,67218.28,Fully Repaid,20854106.82,161035.57,Fair (580-669),Fully Verified,+254707197526,2010-05-14,175,2023-02-21,74,Mobile App (EazzyBanking),96,Yes,No,No,Passive
EGH-KE-54801238,KE3655863589,Lewis Price,Male,23,SME,Equity Bank Kenya Limited,Kenya,KE-BR019,Central Bank of Kenya,Fixed Deposit,Closed,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254786582108,2020-12-15,48,2024-01-27,0,Branch,24,No,No,No,Detractor
EGH-KE-13942338,KE2418709263,Nicola McCarthy,Female,21,Corporate,Equity Bank Kenya Limited,Kenya,KE-BR006,Central Bank of Kenya,Mobile Savings (EazzyBanking),Active,KES,80850234.74,624326.14,No Loan,0.0,0.0,Exceptional (800+),Fully Verified,+254745541343,2011-01-28,167,2023-04-18,43,Mobile App (EazzyBanking),93,No,Yes,No,Passive
EGH-SS-59191254,SS9235810763,Guy Slater,Male,48,NGO / Non-profit,Equity Bank South Sudan Limited,South Sudan,SS-BR023,Bank of South Sudan,Business Account,Active,SSP,9959908.2,7661.47,Fully Repaid,0.0,0.0,Very Good (740-799),Partial KYC,+211776557757,2024-06-26,6,2023-01-28,3,Mobile App (EazzyBanking),97,Yes,Yes,No,Promoter
EGH-RW-23886054,RW1554780031,Kirsty Welch,Female,42,SME,Equity Bank Rwanda Limited,Rwanda,RW-BR028,National Bank of Rwanda,Fixed Deposit,Active,RWF,1977470.65,1509.52,No Loan,0.0,0.0,Good (670-739),Fully Verified,+250752650938,2016-08-17,100,2024-07-06,44,Mobile App (EazzyBanking),72,No,No,No,Detractor
EGH-RW-76903830,RW4106027694,Simon Wood,Male,65,Retail – Mass Market,Equity Bank Rwanda Limited,Rwanda,RW-BR028,National Bank of Rwanda,Mobile Savings (EazzyBanking),Active,RWF,38420.05,29.33,Written Off,193819.21,147.95,Very Poor (<300),Fully Verified,+250787095255,2020-05-04,55,2023-09-21,51,USSD (*247#),44,No,Yes,No,Promoter
EGH-KE-71474405,KE2497962237,Donald Robinson,Male,62,SME,Equity Bank Kenya Limited,Kenya,KE-BR008,Central Bank of Kenya,Fixed Deposit,Active,KES,0.0,0.0,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254731321615,2021-05-27,43,2023-02-19,69,Branch,20,Yes,No,No,Promoter
EGH-RW-93027504,RW1544806839,Iain Adams,Male,57,Retail – Affluent,Equity Bank Rwanda Limited,Rwanda,RW-BR004,National Bank of Rwanda,Fixed Deposit,Active,RWF,110361.5,84.25,No Loan,0.0,0.0,Good (670-739),Partial KYC,+250772678133,2019-09-15,63,2023-03-16,73,Branch,36,Yes,No,No,Promoter
EGH-KE-77028593,KE2554757566,Jeremy Phillips,Male,34,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR008,Central Bank of Kenya,Savings Account,Active,KES,0.0,0.0,No Loan,0.0,0.0,Very Good (740-799),Partial KYC,+254758267490,2016-05-19,103,2024-03-25,21,Mobile App (EazzyBanking),92,No,No,No,Detractor
EGH-KE-42997838,KE5103688819,Gillian Cartwright,Female,36,SME,Equity Bank Kenya Limited,Kenya,KE-BR006,Central Bank of Kenya,Current Account,Dormant,KES,14540.65,112.28,Active Loan,1237074.88,9552.7,Good (670-739),Partial KYC,+254790862272,2010-04-22,176,2023-07-07,17,Mobile App (EazzyBanking),70,Yes,Yes,No,Promoter
EGH-ELAK-97075874,ELAK6030525676,Emily Mills,Female,21,Retail – Mass Market,Equity Life Assurance (Kenya) Limited,Kenya,ELAK-BR033,Insurance Regulatory Authority,Savings Account,Active,KES,21670.29,167.34,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254780653139,2022-08-29,28,2024-12-07,75,Agent Banking,12,Yes,Yes,Yes,Promoter
EGH-RW-46976531,RW9049279831,Barry Murray,Male,34,Microfinance,Equity Bank Rwanda Limited,Rwanda,RW-BR032,National Bank of Rwanda,Savings Account,Active,RWF,23230.15,17.73,Active Loan,20055.48,15.31,Very Good (740-799),Partial KYC,+250759836048,2015-06-08,114,2023-06-27,11,Mobile App (EazzyBanking),93,Yes,Yes,No,Promoter
EGH-CD-39324281,CD7154547992,Lucy Wood,Female,25,Retail – Mass Market,Equity Banque Commerciale du Congo (EquityBCDC),Democratic Republic of Congo,CD-BR012,Banque Centrale du Congo,Business Account,Active,CDF,9573.69,3.42,No Loan,0.0,0.0,Very Good (740-799),Fully Verified,+243734477030,2024-09-05,3,2023-10-06,46,Branch,23,Yes,Yes,No,Passive
EGH-RW-91498217,RW8217668822,Julie Thorpe,Female,65,SME,Equity Bank Rwanda Limited,Rwanda,RW-BR036,National Bank of Rwanda,Savings Account,Dormant,RWF,0.0,0.0,Fully Repaid,11811390.92,9016.33,Good (670-739),Fully Verified,+250704617602,2019-04-12,68,2023-08-23,2,Mobile App (EazzyBanking),96,Yes,Yes,Yes,Detractor
EGH-TZ-43341373,TZ5979725452,Russell Burgess,Male,24,SME,Equity Bank Tanzania Limited,Tanzania,TZ-BR026,Bank of Tanzania,Fixed Deposit,Active,TZS,3468006.27,1333.85,Fully Repaid,9116279.24,3506.26,Good (670-739),Fully Verified,+255775013980,2010-09-08,171,2024-08-20,35,Mobile App (EazzyBanking),90,Yes,No,No,Passive
EGH-UG-16870886,UG2811396385,Amelia Smith,Female,43,Retail – Mass Market,Equity Bank Uganda Limited,Uganda,UG-BR042,Bank of Uganda,Savings Account,Active,UGX,68479.81,18.02,No Loan,0.0,0.0,Good (670-739),Partial KYC,+256705977363,2019-01-28,71,2023-04-09,74,Mobile App (EazzyBanking),95,No,No,No,Promoter
EGH-KE-52260022,KE8648696644,Victor Fox,Male,38,SME,Equity Bank Kenya Limited,Kenya,KE-BR015,Central Bank of Kenya,Savings Account,Active,KES,5390016.95,41621.75,No Loan,0.0,0.0,Fair (580-669),Fully Verified,+254760546460,2019-06-04,66,2023-04-06,10,Mobile App (EazzyBanking),95,Yes,No,No,Passive
EGH-KE-81611196,KE5270639405,Lorraine Sharp,Female,53,Retail – Affluent,Equity Bank Kenya Limited,Kenya,KE-BR022,Central Bank of Kenya,Savings Account,Active,KES,1099035.59,8486.76,Active Loan,3329794.34,25712.7,Good (670-739),Fully Verified,+254712284434,2019-09-11,63,2024-03-29,16,Branch,25,Yes,No,No,Promoter
EGH-KE-27052422,KE7941243288,Tracey Slater,Female,38,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR016,Central Bank of Kenya,Savings Account,Active,KES,16903.39,130.53,No Loan,0.0,0.0,Good (670-739),Fully Verified,+254702942825,2012-08-03,148,2023-06-30,21,Branch,33,Yes,Yes,No,Promoter
EGH-KE-51664650,KE1057159699,Janet Baker,Female,71,SME,Equity Bank Kenya Limited,Kenya,KE-BR026,Central Bank of Kenya,Savings Account,Dormant,KES,49264.76,380.42,Active Loan,5173953.4,39953.31,Fair (580-669),Fully Verified,+254709655092,2020-10-05,50,2024-09-10,28,Mobile App (EazzyBanking),83,Yes,No,Yes,Passive
EGH-KE-21692935,KE5010747179,Joanne Walker,Female,48,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR044,Central Bank of Kenya,Mobile Savings (EazzyBanking),Active,KES,28168.49,217.52,Active Loan,61341.09,473.68,Fair (580-669),Fully Verified,+254734655978,2021-05-15,43,2024-09-08,69,Mobile App (EazzyBanking),77,Yes,Yes,No,Promoter
EGH-SS-71783038,SS4049931763,Timothy Brown,Male,47,Retail – Affluent,Equity Bank South Sudan Limited,South Sudan,SS-BR027,Bank of South Sudan,Mobile Savings (EazzyBanking),Active,SSP,46310.01,35.62,No Loan,0.0,0.0,Very Good (740-799),Partial KYC,+211752704203,2016-10-15,98,2023-10-26,61,USSD (*247#),45,Yes,No,No,Promoter
EGH-TZ-52813442,TZ3674822187,Amanda Norris,Female,30,SME,Equity Bank Tanzania Limited,Tanzania,TZ-BR010,Bank of Tanzania,Fixed Deposit,Dormant,TZS,0.0,0.0,Active Loan,0.0,0.0,Poor (300-579),Partial KYC,+255772955905,2013-12-23,132,2024-02-05,9,Mobile App (EazzyBanking),89,No,No,Yes,Detractor
EGH-KE-39717669,KE7073612932,Zoe Ahmed,Female,55,Retail – Mass Market,Equity Bank Kenya Limited,Kenya,KE-BR001,Central Bank of Kenya,Savings Account,Active,KES,0.0,0.0,Fully Repaid,0.0,0.0,Very Good (740-799),Partial KYC,+254741611870,2012-10-07,146,2023-11-20,69,Branch,27,Yes,No,No,Promoter
EGH-RW-30421841,RW8420889884,Tina Watson,Female,52,Corporate,Equity Bank Rwanda Limited,Rwanda,RW-BR022,National Bank of Rwanda,Current Account,Active,RWF,46108290.64,35197.17,Written Off,470574484.71,359217.16,Very Poor (<300),Partial KYC,+250713483711,2021-08-05,40,2023-01-18,30,USSD (*247#),57,Yes,No,No,Promoter
